,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
70,alcatel Pop 4+,1,"2016, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.1 GHz Cortex-A7,"16 GB, 1.5 GB RAM","16 GB, 1.5 GB RAM","8 MP, AF, ",5 MP,"4.1, A2DP",Removable Li-Ion 2500 mAh battery,About 110 EUR
71,alcatel Pop 4,1,"2016, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.1 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",5 MP,"4.0, A2DP",Removable Li-Ion 2500 mAh battery,About 80 EUR
72,alcatel Idol 4s Windows,1,"2016, Q3",152 g (5.36 oz),"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"64 GB, 4 GB RAM","64 GB, 4 GB RAM","21 MP, PDA",8 MP,"4.1, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 200 EUR
73,alcatel Idol 4s,1,"2016, February",149 g (5.26 oz),"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","16 MP, PDA",8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 3000 mAh battery,About 220 EUR
74,alcatel Idol 4,1,"2016, February",135 g (4.76 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Octa-core (4x1.7 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"16 GB, 2 GB RAM - 6055Y, 6055K16 GB, 3 GB RAM - 6055B, 6055H, 6055I","16 GB, 2 GB RAM - 6055Y, 6055K16 GB, 3 GB RAM - 6055B, 6055H, 6055I","13 MP, PDA",8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2610 mAh battery,About 200 EUR
75,alcatel Fierce XL (Windows),1,"2016, January",174 g (6.14 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.1 GHz Cortex-A7,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF",2 MP,"4.1, A2DP",Non-removable Li-Ion 2500 mAh battery,
76,alcatel CareTime,0,"2016, January",-,OLED (single white color),"0.95 inches, 2.7 cm2 (~16.8% screen-to-body ratio)","96 x 64 pixels, 3:2 ratio (~121 ppi density)",,,,No,,"4.0, A2DP",Non-removable Li-Ion 380 mAh battery,
77,alcatel Pixi 4 (7),0,"2016, January",-,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~67.7% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",2 MP,VGA,"4.1, A2DP",Non-removable Li-Ion 2580 mAh battery,About 80 EUR
78,alcatel Pixi 4 (6) 3G,0,"2016, June",179 g (6.31 oz),"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~68.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~184 ppi density)",Quad-core 1.3 GHz,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","13 MP, AF",8 MP,"4.1, A2DP",Removable Li-Ion 2580 mAh battery,About 120 EUR
79,alcatel Pixi 4 (6),1,"2016, January",-,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Quad-core 1.1 GHz Cortex-A7,"8 GB, 1 GB RAM or 16 GB, 1.5 GB RAM","8 GB, 1 GB RAM or 16 GB, 1.5 GB RAM","8 MP, AF",5 MP,"4.1, A2DP",Removable Li-Ion 2580 mAh battery,About 100 EUR
80,Allview Allwatch Hybrid T,0,"2018, December",88 g (3.10 oz),LCD touchscreen,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~278 ppi density)",,,,No,,"4.2, A2DP, LE",Non-removable Li-Po 200 mAh battery,
81,Allview Allwatch Hybrid S,0,"2018, December",88 g (3.10 oz),LCD touchscreen,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~278 ppi density)",,,,No,,"4.2, A2DP, LE",Non-removable Li-Po 200 mAh battery,
82,Allview A10 Plus,0,"2018, November",150 g (5.29 oz),"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~67.9% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",5 MP,"4.0, A2DP, LE",Li-Ion 2200 mAh battery,
83,Allview Soul X5 Style,1,"2018, November",168 g (5.93 oz),"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~80.7% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Octa-core 2.0 GHz Cortex-A53,"32 GB, 3 GB RAM","32 GB, 3 GB RAM","13 MP, AF","8 MP, f/2.","5.0, A2DP, LE",Non-removable Li-Po 4000 mAh battery,About 220 EUR
84,Allview Allwatch V,0,"2018, June",39 g (1.38 oz),LCD touchscreen,"1.3 inches, 5.5 cm2 (~32.5% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~261 ppi density)",,,,No,,"4.0, A2DP, LE",Non-removable Li-Po 130 mAh battery,
85,Allview Soul X5 Mini,1,"2018, August",156 g (5.50 oz),"IPS LCD capacitive touchscreen, 16M colors","5.67 inches, 81.0 cm2 (~77.2% screen-to-body ratio)",720 x 1498 pixels (~293 ppi density),Quad-core 1.3 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, AF",5 MP,"4.2, A2DP, LE",Non-removable Li-Po 3050 mAh battery,
86,Allview P10 Style,1,"2018, October",140 g (4.94 oz),"IPS LCD capacitive touchscreen, 16M colors","5.34 inches, 73.6 cm2 (~72.1% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~201 ppi density)",Quad-core 1.5 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",8 MP,"4.2, A2DP, LE",Non-removable Li-Po 2300 mAh battery,
87,Allview X5 Soul,1,"2018, August",185 g (6.53 oz),"IPS LCD capacitive touchscreen, 16M colors","5.86 inches, 85.7 cm2 (~79.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~287 ppi density)",Octa-core 2.0 GHz Cortex-A53,"32 GB, 4 GB RAM","32 GB, 4 GB RAM","16 MP, f/2","16 MP, f/2","4.2, A2DP, LE",Non-removable Li-Po 3000 mAh battery,
88,Allview Soul X5 Pro,1,"2018, June",210 g (7.41 oz),"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~82.8% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"32 GB, 4 GB RAM","32 GB, 4 GB RAM","16 MP, f/2","16 MP, f/2","4.2, A2DP, LE",Non-removable Li-Po 3000 mAh battery,About 330 EUR
89,Allview P8 Pro,1,"2018, January",186.5 g (6.60 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Quad-core 1.45 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, AF",8 MP,"4.2, A2DP, LE",Non-removable Li-Po 3000 mAh battery,
90,Allview X4 Soul Infinity Plus,1,"2017, September",156 g (5.50 oz),"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~77.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Octa-core (4x2.4 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"64 GB, 6 GB RAM","64 GB, 6 GB RAM","13 MP, 1/3",13 MP,"4.0, A2DP, EDR, LE",Non-removable Li-Po 3050 mAh battery,About 450 EUR
