name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
Lenovo A6600 Plus,1,2016,142,LCD,5.0,294,1.0,2.0,16.0,8.0,2.0,4.0,2300,148.2
Lenovo A6600,1,2016,142,LCD,5.0,294,1.0,1.0,16.0,8.0,2.0,4.0,2300,125.4
Lenovo B,1,2016,144,OTHER,4.5,207,1.0,1.0,8.0,5.0,2.0,4.0,2000,91.2
Lenovo A Plus,0,2016,146,OTHER,4.5,218,1.3,1.0,8.0,5.0,2.0,2.1,2000,79.8
Lenovo P2,1,2016,177,OLED,5.5,401,2.0,4.0,64.0,13.0,5.0,4.1,5100,273.6
Lenovo K6 Note,1,2016,169,LCD,5.5,401,1.4,4.0,32.0,16.0,8.0,4.2,4000,285.0
Lenovo K6 Power,1,2016,145,LCD,5.0,441,1.4,3.0,32.0,13.0,8.0,4.2,4000,193.8
Lenovo K6,1,2016,140,LCD,5.0,441,1.4,2.0,32.0,13.0,8.0,4.1,3000,228.0
Lenovo Yoga Tab 3 Plus,1,2016,637,LCD,10.1,299,2.0,3.0,32.0,13.0,5.0,4.0,9300,341.99999999999994
Lenovo Vibe A,0,2016,132,OTHER,4.0,233,1.3,0.512,4.0,5.0,0.0,2.1,1700,56.99999999999999
Lenovo C2 Power,1,2016,155,LCD,5.0,294,1.0,2.0,16.0,8.0,5.0,4.0,3500,193.8
Lenovo C2,1,2016,139,LCD,5.0,294,1.0,1.0,16.0,8.0,5.0,4.0,2750,228.0
Lenovo Phab2 Plus,1,2016,218,LCD,6.4,344,1.3,3.0,32.0,13.0,8.0,4.0,4050,285.0
Lenovo Phab2,1,2016,225,LCD,6.4,229,1.3,3.0,32.0,13.0,5.0,4.0,4050,262.2
LG V40 ThinQ,1,2018,169,OLED,6.4,537,2.7,6.0,128.0,12.0,8.0,5.0,3300,912.0
LG Candy,1,2018,152,LCD,5.0,294,1.3,2.0,16.0,8.0,5.0,4.2,2500,93.8
LG G7 One,1,2018,156,LCD,6.1,563,2.35,4.0,32.0,16.0,8.0,5.0,3000,570.0
LG Q8,1,2018,172,LCD,6.2,389,1.6,4.0,64.0,16.0,5.0,4.2,3300,478.8
LG Q Stylo 4,1,2018,172,LCD,6.2,390,1.8,0.0,32.0,13.0,5.0,4.2,3300,285.0
LG Q Stylus,1,2018,171,LCD,6.2,389,1.5,4.0,64.0,13.0,8.0,4.2,3300,341.99999999999994
LG V35 ThinQ,1,2018,157,OLED,6.0,537,2.7,6.0,128.0,16.0,8.0,5.0,3300,797.9999999999999
LG Q7,1,2018,145,LCD,5.5,442,1.5,4.0,64.0,13.0,5.0,4.2,3000,205.2
LG G7 ThinQ,1,2018,162,LCD,6.1,564,2.8,6.0,128.0,16.0,8.0,5.0,3000,467.4
LG V30S ThinQ,1,2018,158,OLED,6.0,537,2.45,6.0,256.0,16.0,5.0,5.0,3300,740.9999999999999
LG Zone 4,1,2018,140,LCD,5.0,294,1.4,2.0,16.0,8.0,5.0,4.2,2500,120.0
LG K30,1,2018,168,LCD,5.3,277,1.4,2.0,32.0,13.0,5.0,4.2,2880,230.0
LG K10 (2018),1,2018,162,LCD,5.3,277,1.5,3.0,32.0,13.0,8.0,4.2,3000,170.99999999999997
LG Aristo 2,1,2018,139,LCD,5.0,294,1.4,2.0,16.0,13.0,5.0,4.2,2410,60.0
LG X4+,1,2018,172,LCD,5.3,277,1.4,2.0,32.0,13.0,5.0,4.2,3000,228.0
LG V30,1,2017,158,OLED,6.0,537,2.45,4.0,128.0,16.0,5.0,5.0,3300,478.8
LG Q8 (2017),1,2017,146,LCD,5.2,564,2.15,4.0,32.0,16.0,5.0,4.2,3000,285.0
LG Q6,1,2017,149,LCD,5.5,442,1.4,4.0,64.0,13.0,5.0,4.2,3000,170.99999999999997
LG G Pad IV 8.0 FHD,1,2017,290,LCD,8.0,283,1.4,2.0,32.0,5.0,5.0,4.2,3000,399.0
LG X venture,1,2017,166,LCD,5.2,423,1.4,2.0,32.0,16.0,5.0,4.2,4100,319.2
LG G6,1,2017,163,LCD,5.7,564,2.35,4.0,128.0,13.0,5.0,4.2,3300,307.7999999999999
LG X power2,1,2017,164,LCD,5.5,267,1.5,2.0,16.0,13.0,5.0,4.2,4500,205.2
LG Stylo 3 Plus,1,2017,150,LCD,5.7,386,1.4,2.0,32.0,13.0,5.0,4.2,3080,296.4
LG Stylus 3,1,2016,149,LCD,5.7,258,1.5,3.0,16.0,13.0,5.0,4.1,3200,228.0
LG Harmony,1,2017,141,LCD,5.3,277,1.4,1.5,16.0,8.0,5.0,4.2,2800,102.6
LG K20 plus,1,2016,140,LCD,5.3,277,1.4,2.0,16.0,13.0,5.0,4.2,2700,182.4
LG K10 (2017),1,2016,144,LCD,5.3,277,1.5,2.0,16.0,13.0,5.0,4.2,2800,239.4
LG K8 (2017),1,2016,144,LCD,5.0,293,1.4,1.5,16.0,13.0,5.0,4.2,2500,182.4
LG K7 (2017),1,2017,143,OTHER,5.0,196,1.1,2.0,16.0,8.0,5.0,4.2,2500,114.0
LG K4 (2017),1,2016,138,LCD,5.0,195,1.1,1.0,8.0,5.0,5.0,4.1,2500,136.79999999999998
LG K3 (2017),1,2016,132,LCD,4.5,218,1.1,1.0,8.0,5.0,2.0,4.1,2100,114.0
LG G Pad III 10.1 FHD,1,2016,510,LCD,10.1,224,1.5,2.0,32.0,5.0,5.0,4.2,6000,307.7999999999999
LG V20,1,2016,174,LCD,5.7,513,2.15,4.0,64.0,16.0,5.0,4.2,3200,399.0
LG X Skin,1,2016,122,LCD,5.0,294,1.3,1.5,16.0,8.0,5.0,4.1,2100,205.2
LG X5,1,2016,133,LCD,5.5,267,1.3,2.0,16.0,13.0,5.0,4.2,2800,182.4
LG X max,1,2016,133,LCD,5.5,267,1.3,1.5,16.0,13.0,5.0,4.2,2800,228.0
LG X mach,1,2016,150,LCD,5.5,538,1.4,3.0,32.0,12.3,8.0,4.2,3000,273.6
LG G Pad X 8.0,1,2016,309,LCD,8.0,283,1.5,2.0,32.0,5.0,5.0,4.2,4800,250.8
LG X power,1,2016,139,LCD,5.3,277,1.3,2.0,16.0,13.0,5.0,4.1,4100,148.2
LG X style,1,2016,121,LCD,5.0,294,1.3,1.5,16.0,8.0,5.0,4.1,2100,79.8
LG Stylus 2 Plus,1,2016,146,LCD,5.7,386,1.2,2.0,32.0,13.0,8.0,4.1,3000,205.2
LG Stylo 2,1,2016,144,LCD,5.7,258,1.2,2.0,16.0,13.0,5.0,4.1,3000,170.99999999999997
LG K5,1,2016,128,LCD,5.0,196,1.3,1.0,8.0,5.0,2.0,4.0,1900,136.79999999999998
LG K3,1,2016,127,LCD,4.5,218,1.1,1.0,8.0,5.0,0.0,4.1,1940,114.0
LG G5 SE,1,2016,156,LCD,5.3,554,1.8,3.0,32.0,16.0,8.0,4.2,2800,399.0
