,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
44,Apple iPhone 6s,1,"2015, September",143 g (5.04 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Dual-core 1.84 GHz Twister,"16/32/64/128 GB, 2 GB RAM","16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (","5 MP, f/2.2, 31mm (s","4.2, A2DP, LE",Non-removable Li-Ion 1715 mAh battery (6.91 Wh),About 500 EUR
45,Apple iPad Pro 12.9 (2015),1,"2015, September",713 g (Wi-Fi) / 723 g (LTE) (1.57 lb),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","12.9 inches, 519.2 cm2 (~77.0% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~264 ppi density)",Dual-core 2.26 GHz (Twister),"32/128/256 GB, 4 GB RAM","32/128/256 GB, 4 GB RAM","8 MP, f/2.4, 31mm (s",1.2 MP,"4.0, A2DP, EDR","Non-removable Li-Ion 10,307 mAh battery (38.8 Wh)",About 850 EUR
46,Apple iPad mini 4,1,"2015, September",299 g (Wi-Fi) / 304 g (3G/LTE) (10.55 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","7.9 inches, 193.3 cm2 (~70.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)",Dual-core 1.5 GHz Typhoon,"16/32/64/128 GB, 2 GB RAM","16/32/64/128 GB, 2 GB RAM","8 MP, f/2.4, 32mm (s","1.2 MP, f/2.2, 31mm ","4.0, A2DP, EDR",Non-removable Li-Ion 5124 mAh battery (19.1 Wh),About 360 EUR
47,Apple Watch Edition 42mm (1st gen),0,"2014, September",69 g body (3.53 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~56.8% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 250 mAh battery (0.94 Wh),About 13000 EUR
48,Apple Watch Edition 38mm (1st gen),0,"2014, September",55 g body (3.35 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 205 mAh battery (0.78 Wh),About 11000 EUR
49,Apple Watch 42mm (1st gen),0,"2014, September",50 g body (2.82 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~56.8% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 250 mAh battery (0.94 Wh),About 700 EUR
50,Apple Watch 38mm (1st gen),0,"2014, September",40 g body (2.72 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 205 mAh battery (0.78 Wh),About 650 EUR
51,Apple Watch Sport 42mm (1st gen),0,"2014, September",30 g body (2.47 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~57.2% screen-to-body ratio)",390 x 312 pixels (~302 ppi density),520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 250 mAh battery (0.94 Wh),About 250 EUR
52,Apple Watch Sport 38mm (1st gen),0,"2014, September",25 g body (2.19 oz),"AMOLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm2 (~55.1% screen-to-body ratio)",340 x 272 pixels (~290 ppi density),520 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 205 mAh battery (0.78 Wh),About 250 EUR
53,Apple iPad Air 2,1,"2014, October",437 g (Wi-Fi) / 444 g (3G/LTE) (15.41 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Triple-core 1.5 GHz Typhoon,"16/32/64/128 GB, 2 GB RAM","16/32/64/128 GB, 2 GB RAM","8 MP, f/2.4, 31mm (s","1.2 MP, f/2.2, 31mm ","4.0, A2DP, EDR",Non-removable Li-Po 7340 mAh battery (27.62 Wh),About 440 EUR
54,Apple iPad Air 2,1,"2014, October",437 g (Wi-Fi) / 444 g (3G/LTE) (15.41 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Triple-core 1.5 GHz Typhoon,"16/32/64/128 GB, 2 GB RAM","16/32/64/128 GB, 2 GB RAM","8 MP, f/2.4, 31mm (s","1.2 MP, f/2.2, 31mm ","4.0, A2DP, EDR",Non-removable Li-Po 7340 mAh battery (27.62 Wh),About 440 EUR
